jobCategories_id,jobCategories,techStacks,responsibility,qualifications,preferredRequirements
1,서버/백엔드 개발자,"['Spring Boot', 'Thymeleaf', 'Java', 'Spring', 'Docker', 'PostgreSQL', 'Mybatis', 'GitHub']","• 개발자들에 대한 technical leading 및 지원
• 기상, 해양 분야 프로젝트 및 R&D 개발
• 개발 팀 문화 및 프로세스 Development","• 7년 이상 백엔드 개발 및 서비스 운영 경험이 있는 분 혹은 그에 준하신 분
• Java 기술 생태계(Java/Spring/JPA)에 대한 이해도와 엔지니어링 역량(OOP/TDD/Refactoring)에 관심이 있으신 분
• 비즈니스 마인드 및 커뮤니케이션 역량을 소유한 분
• 소규모 팀을 리드 하면서 팀원을 코칭하고 양성한 경험이 있는 분","• 개발팀장 혹은 개발 리더 경험이 있으신 분
• 레거시 시스템 개선 경험 및 대용량 시스템 운영 경험이 있는 분
• 2D/3D 공간 정보에 대한 이해가 있으신 분
• Geoserver, QGIS, Openlayers, Cesium, GDAL 개발 경험이 있으신 분
• DDD, Agile, Docker, Kubernetes, MSA, Kafka, Elastic Search, Kubernetes 등의 경험이 있으신 분"
19,빅데이터 엔지니어,"['R', 'MachineLearning', 'Python', 'SQL', 'Pandas']","[ The Impact You'll Be Contributing to Moloco ]
Product Data Science (PDS) is the global team of data scientists whose mission is to provide data-driven insights to improve decision-making and design, resulting in best-in-class Demand Side Platform (DSP) products and services. As a senior data scientist in PDS, you will derive performance improvement and cost efficiency in our product through a deep understanding of the ML and infra system and provide a data-driven insight and scientific solution.

[ The Opportunity ]
• Data Analysis and Research: analyzing a large dataset with queries and scripts, extracting valuable signals from noise, and producing actionable insights into how we could complete and improve Moloco’s complex ML and bidding system.
• Simulation and Modeling: validating and quantifying the efficiency and performance gain from hypotheses through rigorous simulation and modeling.
• Experimentation and Causal Inference: developing a robust experiment design and metric framework and providing reliable and unbiased insights for product and business decision-making.","• Bachelor’s degree in a quantitative discipline (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering).
• 3+ years of work experience in data science-related fields or an advanced degree such as a Master’s or Ph.D. in a quantitative discipline with 2+ years of experience
• Distinctive problem-solving skills, good at articulating product questions, pulling data from large datasets, and using statistics to arrive at a recommendation.
• Excellent verbal and written communication skills, with the ability to present information and analyze results effectively.
• Ability to build positive relationships within DSA and with our stakeholders and work effectively with cross-functional partners in a global company.
• Statistics: must have strong knowledge and experience in experimental design, hypothesis testing, and various statistical analysis techniques such as regression or linear models.
• Machine Learning: must have a deep understanding of ML algorithms (i.e., deep learning, random forest, gradient boosted trees, k-means clustering, etc.) and their development, validation, and evaluation.
• Programming: experience with Python, R, or other scripting languages, and database language (e.g., SQL) or data manipulation (e.g., Pandas, Dplyr) are required.","• Advanced degree such as Master’s or PhD in a quantitative discipline.
• Ability to manage multiple projects at the same time while paying attention to detail and translating analysis results into business recommendations.
• Proven ability to own projects end-to-end, even when you have to get creative: you do more than complete delegated tasks.
• Demonstrated leadership and self-direction. Willingness to both teach others and learn new techniques."
8,인공지능/머신러닝,"['Linux', 'TensorFlow', 'Python', 'Docker', 'PyTorch']","• 사전에 학습된 ChatGPT 모델을 의료 도메인 데이터로 미세 조정하여 챗봇 고도화
• 사용자와의 자연스러운 대화를 위한 챗봇 시스템을 설계 및 구현
• 개인맞춤형 건강기능식품 추천을 위한 데이터 전/후처리 아키텍쳐 및 알고리듬 고도화","• 경력 : 동종업(AI 서비스 개발/운영) 2년 이상 또는 그에 준하는 역량을 가지신 분
• 대용량 데이터 활용이 가능하신 분
• Python, Tensorflow, Pytorch 등 딥러닝 프레임워크 개발에 능숙하신 분","• 헬스케어 분야에서의 경험이 있으신 분
• 자연어 생성 모델(LLM) 관련 경험이 있으신 분 
• Linux, Docker 기반 개발 경험하신 분
• 최신 영문 논문을 분석하고 재현하는 데 능숙한 분"
1,서버/백엔드 개발자,"['JavaScript', 'Spring Framework', 'RDB', 'Kafka', 'Java', 'MSSQL', 'Redis', 'Oracle', 'jQuery']","[우리 개발팀은 이렇게 구성되어 있어요]

• R&D 센터 = 개발 1팀 + 개발 2팀
• 1팀 (총 9명으로 구성) +  1명 추가 채용중 (차장급)
   팀장 1명 + 팀원 8명

23년 하반기 오픈 예정인 서비스를 위해 귀하의 지원을 기다리고 있습니다. 

[진행 중 업무]
• 꿀단지, 관리비 조회 / 납부, 민원, 신용점수, 택배예약, 아파트소식, 전자투표, 음성방송, 인앱서비스 등 개발과 운영합니다.

[2023년 하반기 추가 예정 및 진행중인 업무]
• 꿀단지, 모바일 입주자 카드, 단지톡, 월세 자동이체, 주차 관제, 출입문 등 개발 및 운영합니다.","[필요 역량]
• JAVA, Spring, Javascript, JQuery 중급 이상
• RDBMS Query 작성 중급 이상
• 이해관계자와 건설적인 의사소통이 가능한 분
• 업무에 필요한 새로운 기술을 익히려는 의지를 갖고 있는 분

[필요 경력]
• 만 10년 ~ 만 14년 (차장급)","• PG / VAN 서비스 개발 및 운영 경험 있으신 분
• 클라우드 기반 서비스 개발 및 운영 경혐 있으신 분
• .Net 기반 서비스 개발 경험 있으신 분
• OpenAPI 서비스 개발 및 운영 경험 있으신 분"
3,웹 풀스택 개발자,"['GCP', 'Git', 'Django', 'React', 'AWS', 'Flask', 'Python', 'AZURE', 'Docker', 'Flutter']","• AI, LLM 기반의 응용 서비스, 솔루션 신규 개발 프로젝트의 개발 파트를 리딩합니다.
• AI Solution Lab의 개발 업무를 리딩하고 실무 개발에 앞장서 참여합니다.
• 안정적인 서비스 제공을 위한 시스템 아키텍쳐를 탄탄하게 설계하고 개발합니다.
• 신규 개발 프로젝트의 크로스 플랫폼 웹/앱 풀스택 개발과 시스템 설계, 유지 보수에 참여합니다.","• 풀스택 소프트웨어 엔지니어 실무 개발 경력이 5년 이상인 분
• 데이터 구조 설계부터 화면 구현까지 서비스 개발 경험이 있으신 분
• AI 서비스(또는 이에 준하는 모바일/웹/앱/플랫폼 서비스) 출시 경험이 있고, 기획과 설계부터 서비스 출시까지 모든 과정에 참여해 CTO 또는 그에 준하는 역할을 수행한 경력이 있으신 분
• 시스템 아키텍처 설계, 서버 및 인프라에 대한 지식과 경험, 실력을 가지신 분
• Python/Django 프레임워크를 이용한 서버/백엔드 개발에 최상급의 지식과 실력을 가지신 분
• Flutter를 이용한 웹/모바일 클라이언트 개발에 상급 수준 지식과 실력을 가지신 분
• AWS EC2, GCP 등 클라우드 기반의 서버 구축 경험이 있으신 분
• SQL/MongoDB 등과 같이 RDBS/NoSQL 관계없이 다양한 DB를 익숙하게 다룰 수 있으신 분
• 비개발자를 포함해 협업하는 사람과 논리적이고 이성적인 커뮤니케이션이 가능하신 분
• 내가 제안한 설계와 내가 개발한 코드에 대한 비판에도 열린 커뮤니케이션이 가능한 분
• 서비스와 사용자 중심의 관점과 유연한 커뮤니케이션 역량을 보유하신 분
• 리더로서 책임감과 포용력이 있으신 분","• 컴퓨터공학 또는 관련 학문을 전공하신 분
• 주도적으로 문제를 발견하고 개선해오신 분
• 사용자 중심으로 개발하는 마인드를 가지신 분
• LLM을 활용한 제품/서비스 출시 경험이 있으신 분
• 신규 개발팀을 신설해보았거나, 개발팀을 리딩해보신 분
• 자연어처리, 딥러닝, MLOps 등에 대한 이해가 있으신 분
• AI/ML/LLM 모델을 활용한 서비스 구축 경험이 있으신 분
• AI 시장에 대한 이해를 바탕으로 제품화를 위한 아이디어가 넘치시는 분"
15,SW/솔루션,"['SW', 'Linux', 'C++', 'Qt', 'WebSocket', 'C', 'JSON']","• LINUX Application/Service Programming 
• Qt GUI 개발","• 학사 이상
• 전산/정보통신 계열 
• 경력 3년 ~ 10년
• Arm Linux 기반 Qt GUI Application 개발 경험자 
• C,C++/ WebSocket/EXI,XML/JSON 개발 경험자","• 전기차 충전기 Application 개발 경험 
• Cloud Server연동의 Server to Clients개발 겸험
• OOCP/OCSP V2G 이해"
1,서버/백엔드 개발자,"['GCP', 'Golang', 'AWS']","• API 설계, 구현 및 고도화
• 서비스 배포시 발생되는 반복적인 작업을 자동화
• 다양한 로그, 메트릭 등을 분석 및 모니터링
• 서비스 개발, 운영 중 발생되는 문제의 원인을 찾고 구성원들과 함께 해결 방안 모색","• 경력 : 3년 ~ 10년
• Golang 백엔드 개발 2년 이상
• 클라우드(AWS) 인프라 위에서 서버 개발 및 관리 경험
• 새로운 언어 및 기술 환경 학습에 대한 거부감이 없는 분
• 원활한 커뮤니케이션 능력","• B2B SaaS 개발 경험
• 웹 서비스의 구조를 이해하고 개발해본 경험
• 대용량 트래픽 경험
• 서버리스 및 마이크로 아키텍쳐에 대한 이해"
15,SW/솔루션,"['Android OS', 'C++', 'Linux', 'Java', 'C']","1) Bluetooth 개발
• Automotive 기반 Bluetooth 개발
• CarPlay/Android Auto Bluetooth 개발/인증 지원
• Bluetooth/WiFi Combo Module 기반 개발
• Bluetooth SIG 인증 지원
• Core v4.2 이상 개발
• Multi Point(Connection) 개발
• Android 9이상 Automotive 사양 Bluetooth Stack/Profiles
• Field Issue 분석 및 지원

2) WiFi 개발
• CarPlay/Android Auto WiFi 개발/인증 지원
• Bluetooth/WiFi Combo Module 기반 개발
• WiFi Alliance Certification
• Network Debugging
• Backport Driver 포팅
• WiFi HostAP Debugging
• Field Issue 분석 및 지원","• 학사 이상
• 전자/전산/정보통신 계열
• 경력 5년 ~ 10년
• Android/Linux 기반 개발 경험자
• C/C++, JAVA 고급","• Bluetooth/WiFi 동시 개발 경험
• Wired/Wireless CarPlay/Android Auto 인증 지원 
• Bluetooth/WiFi Combo Module 기반 개발 경험
• Bluetooth v4.2 이상 Stack/Profile 개발 경험
• Linux Device Driver 개발 경험
• 양산 경험"
9,devops/시스템 엔지니어,"['Terraform', 'Datadog', 'New Relic', 'Sentry', 'AWS', 'Kubernetes', 'AWS CloudFormation', 'Grafana']","• 클라우드 (AWS) 기반 인프라 설계 (AWS CDK), 구축 및 운영
• 클라우드 보안 취약점 제거를 위한 Audit Compliance
• 모니터링 및 로그 시스템 운영
• 효율적인 운영을 위한 자동화 및 개발 업무","• AWS CDK, Terraform, Cloudformation, IaC 를 이용한 인프라 구축 경험
• AWS 환경에서의 CI/CD 구축 및 서비스 운영 경험
• Kubernetes 기반 인프라 운영 경험 (Helm chart, Kustomize, EKS)
• New Relic, Datadog, Sentry, Grafana 등의 모니터링 툴을 이용해본 경험","• Multi tenant 어플리케이션 운영 경험이 있으신 분
• 트래픽 관리를 위한 시스템 설계 & 개발 경험이 있는 분
• 인증심사 (ISMS 등), 법적 요구사항 (개인정보보호법, HIPAA) 과 관련한 대응 경험"
1,서버/백엔드 개발자,"['Golang', 'MachineLearning', 'Java', 'DeepLearning', 'TensorFlow', 'Python']","[ About the role ]
We seek exceptional machine learning engineers to join us in building a state-of-the-art machine learning system. Moloco's programmatic advertising engine is powered by custom deep neural network models that handle 1M+ QPS at 7 ms prediction latencies. 

Moloco is an engineering company founded by software engineers, and machine learning is the core of Moloco's engineering systems. We understand the value of a strong engineering team and strive to hire only the best software engineers, as seen here (https://www.linkedin.com/company/moloco/people/). Check out our case study published by Google: https://cloud.google.com/customers/moloco/

[ What You Will Do ]
• Design state-of-the-art machine learning models using Tensorflow for real-world, large-scale problems.
• Construct and maintain data pipelines for model training and serving using Google Cloud products such as Apache Beam/Dataflow, BigQuery, and BigTable.
• Develop highly scalable model servers on cloud platforms.
• Work with product, account, and infrastructure engineering teams to define future product roadmaps.","• MS or Ph.D. degree in Computer Science or related technical field
• 7+ years of software development experiences in Machine Learning, Deep Learning related areas
• Fluent with one or more programming languages including Python, Java, and Golang.
• Knowledgeable with production-level machine learning applications including Natural Language Processing, computer vision, recommendation systems, and ranking systems.
• Experience in building a highly scalable model or online service system.",• Relevant experience in AdTech
